,title,url,ID,type,author,authorlast,year,doi,issn,isbn,publication,journal,booktitle,journal_abbrev,abstract,pages,language,volume,number,subcol_0,subcol_1,subcol_2,subcol_3
18,Sander - 2004 - A Systemic Analysis of Affirmative Action in Ameri.pdf,,T4JRGQI3,attachment,,,,,,,,,,,,,,,,,,,
19,Jacobson et al. - 1993 - Earnings Losses of Displaced Workers.pdf,,S8NWAZH4,attachment,,,,,,,,,,,,,,,,,,,
20,Ash et al. - 1983 - Enlistments in the All-Volunteer Force A Military.pdf,,36ZIBM23,attachment,,,,,,,,,,,,,,,,,,,
21,Dale and Gilroy - 1985 - Enlistments in the All-Volunteer Force Note.pdf,,KZ6E2VA2,attachment,,,,,,,,,,,,,,,,,,,
22,Ashenfelter and Krueger - 1994 - Estimates of the Economic Return to Schooling from.pdf,,GIJ2LSLS,attachment,,,,,,,,,,,,,,,,,,,
23,Cornwell and Trumbull - 1994 - Estimating the Economic Model of Crime with Panel .pdf,,UDA4N5MH,attachment,,,,,,,,,,,,,,,,,,,
24,LaLonde - 1986 - Evaluating the Econometric Evaluations of Training.pdf,,BD4BTG6Z,attachment,,,,,,,,,,,,,,,,,,,
25,Puelz and Snow - 1994 - Evidence on Adverse Selection Equilibrium Signali.pdf,,B5JTA9AA,attachment,,,,,,,,,,,,,,,,,,,
26,Whittington et al. - 1990 - Fertility and the Personal Exemption Implicit Pro.pdf,,WPQJ3MSG,attachment,,,,,,,,,,,,,,,,,,,
27,Rajan and Zingales - 1998 - Financial Dependence and Growth.pdf,,G724YZYU,attachment,,,,,,,,,,,,,,,,,,,
28,Meier and Müller - 2006 - Fleshing out the Monetary Transmission Mechanism .pdf,,32QFCZBN,attachment,,,,,,,,,,,,,,,,,,,
29,Cummings et al. - 1995 - Homegrown Values and Hypothetical Surveys Is the .pdf,,96DV6GIC,attachment,,,,,,,,,,,,,,,,,,,
30,Engel and Rogers - 1996 - How Wide Is the Border.pdf,,9U6888A5,attachment,,,,,,,,,,,,,,,,,,,
31,Lastrapes - 2006 - Inflation and the Distribution of Relative Prices.pdf,,Z9S96B2J,attachment,,,,,,,,,,,,,,,,,,,
32,Anderson and Holt - 1997 - Information Cascades in the Laboratory.pdf,,BHCGHIQ3,attachment,,,,,,,,,,,,,,,,,,,
33,Solon - 1992 - Intergenerational Income Mobility in the United St.pdf,,GUNHR5J2,attachment,,,,,,,,,,,,,,,,,,,
34,Angrist et al. - 1999 - Jackknife Instrumental Variables Estimation.pdf,,UPEZLL7Q,attachment,,,,,,,,,,,,,,,,,,,
35,Cecchetti - 1986 - The frequency of price adjustment.pdf,,DR5MW36M,attachment,,,,,,,,,,,,,,,,,,,
36,"Friedman and Kuttner - 1992 - Money, Income, Prices, and Interest Rates.pdf",,9NYM8QJ3,attachment,,,,,,,,,,,,,,,,,,,
37,"Duggan - 2001 - More Guns, More Crime.pdf",,U7ANLN8I,attachment,,,,,,,,,,,,,,,,,,,
38,Baltagi and Khanti-Akom - 1990 - On Efficient Estimation with Panel Data An Empiri.pdf,,VEJR49HF,attachment,,,,,,,,,,,,,,,,,,,
39,An et al. - 2004 - Multivariate mixed proportional hazard modelling o.pdf,,WIUNP2MC,attachment,,,,,,,,,,,,,,,,,,,
40,Brunner - 2000 - On the Derivation of Monetary Policy Shocks Shoul.pdf,,55IPNZJ6,attachment,,,,,,,,,,,,,,,,,,,
41,Shachar - 2003 - Party loyalty as habit formation.pdf,,A6EQZZQW,attachment,,,,,,,,,,,,,,,,,,,
42,Zheng - 2004 - Poverty comparisons with dependent samples.pdf,,JJHEFK6S,attachment,,,,,,,,,,,,,,,,,,,
43,"Kalwij and Alessie - 2007 - Permanent and transitory wages of British men, 197.pdf",,RUGWT5WM,attachment,,,,,,,,,,,,,,,,,,,
44,"Epple et al. - 2003 - Peer effects, financial aid and selection of stude.pdf",,8U48TP38,attachment,,,,,,,,,,,,,,,,,,,
45,Holt and McKenzie - 2003 - Quasi-rational andex ante price expectations in co.pdf,,CPEWCS3E,attachment,,,,,,,,,,,,,,,,,,,
46,Wolak - 2007 - Quantifying the supply-side benefits from forward .pdf,,BXYTJE9S,attachment,,,,,,,,,,,,,,,,,,,
47,Das and Sengupta - 2004 - Projection pursuit regression and disaggregate pro.pdf,,J9BUI63Z,attachment,,,,,,,,,,,,,,,,,,,
48,Leigh - 1978 - Racial Discrimination and Labor Unions Evidence f.pdf,,FE8WAU49,attachment,,,,,,,,,,,,,,,,,,,
49,Mastrogiacomo et al. - 2004 - Retirement behaviour of Dutch elderly households.pdf,,KH4LQQIZ,attachment,,,,,,,,,,,,,,,,,,,
50,Maasoumi and Millimet - 2005 - Robust inference concerning recent trends in US en.pdf,,AMSHDRPG,attachment,,,,,,,,,,,,,,,,,,,
51,Heiss - 2008 - Sequential numerical integration in nonlinear stat.pdf,,67HWGEKV,attachment,,,,,,,,,,,,,,,,,,,
52,Rodríguez-Póo et al. - 2005 - Semiparametric three-step estimation methods for s.pdf,,CPFNGUUR,attachment,,,,,,,,,,,,,,,,,,,
53,Bontemps et al. - 2008 - Semiparametric hedonic price models assessing the.pdf,,5PEY3J9P,attachment,,,,,,,,,,,,,,,,,,,
54,Pendakur - 2005 - Semiparametric estimation of lifetime equivalence .pdf,,QTQ3WKB7,attachment,,,,,,,,,,,,,,,,,,,
55,Anglin and Gençay - 1996 - Semiparametric estimation of a hedonic price funct.pdf,,UCZ6XR9M,attachment,,,,,,,,,,,,,,,,,,,
56,Koop et al. - 2005 - Semiparametric Bayesian inference in multiple equa.pdf,,EFA6UWI8,attachment,,,,,,,,,,,,,,,,,,,
57,Pinkse and Slade - 2007 - Semi-structural models of advertising competition.pdf,,PN9RWAZR,attachment,,,,,,,,,,,,,,,,,,,
58,Wilke - 2006 - Semi-parametric estimation of consumption-based eq.pdf,,ZWPXHS2C,attachment,,,,,,,,,,,,,,,,,,,
59,Bierens and Carvalho - 2007 - Semi-nonparametric competing risks analysis of rec.pdf,,4VK3S42E,attachment,,,,,,,,,,,,,,,,,,,
60,Lee - 2004 - Selection correction and sensitivity analysis for .pdf,,EMAA9YE3,attachment,,,,,,,,,,,,,,,,,,,
61,Egger et al. - 2007 - Sectoral adjustment of employment to shifts in out.pdf,,LVMUJL8L,attachment,,,,,,,,,,,,,,,,,,,
62,Unayama - 2006 - The Engel curve for alcohol and the rank of demand.pdf,,27LLPW7D,attachment,,,,,,,,,,,,,,,,,,,
63,Busetti - 2006 - Tests of seasonal integration and cointegration in.pdf,,X895CNFY,attachment,,,,,,,,,,,,,,,,,,,
64,Spagnolo et al. - 2005 - Testing the unbiased forward exchange rate hypothe.pdf,,LWKPEA6Y,attachment,,,,,,,,,,,,,,,,,,,
65,Bacchiocchi and Fanelli - 2005 - Testing the purchasing power parity through I(2) c.pdf,,CGQSB94C,attachment,,,,,,,,,,,,,,,,,,,
66,Falk and Wang - 2003 - Testing long-run PPP with infinite-variance return.pdf,,4RKDW8KX,attachment,,,,,,,,,,,,,,,,,,,
67,Mavromaras and Orme - 2004 - Temporary layoffs and split population models.pdf,,9W4XQABZ,attachment,,,,,,,,,,,,,,,,,,,
68,Fernández-Rodríguez et al. - 2005 - Testing chaotic dynamics via Lyapunov exponents.pdf,,ZAUIAJ6R,attachment,,,,,,,,,,,,,,,,,,,
69,Temporary layoffs and split population models,https://onlinelibrary.wiley.com/doi/10.1002/jae.734,6QI2QBD4,journalArticle,"Mavromaras, Kostas G.; Orme, Chris D.",Mavromaras; Orme,2004,10.1002/jae.734,"0883-7252, 1099-1255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,49-67,en,19,1,Articles in Wiki,,,
70,Testing chaotic dynamics via Lyapunov exponents,https://onlinelibrary.wiley.com/doi/10.1002/jae.805,SIRWCCYD,journalArticle,"Fernández-Rodríguez, Fernando; Sosvilla-Rivero, Simón; Andrada-Félix, Julián",Fernández-Rodríguez; Sosvilla-Rivero; Andrada-Félix,2005,10.1002/jae.805,"0883-7252, 1099-1255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,911-930,en,20,7,Articles in Wiki,,,
71,Full Text,https://art.torvergata.it/bitstream/2108/41522/1/alfo_trovato_waldmann.pdf.pdf,LY7FVKCY,attachment,,,,,,,,,,,,,,,,,,,
72,Testing for country heterogeneity in growth models using a finite mixture approach,https://onlinelibrary.wiley.com/doi/10.1002/jae.1008,59D86ALZ,journalArticle,"Alfò, Marco; Trovato, Giovanni; Waldmann, Robert J.",Alfò; Trovato; Waldmann,2008,10.1002/jae.1008,"08837252, 10991255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,487-514,en,23,4,Articles in Wiki,,,
73,Testing long-run PPP with infinite-variance returns,https://onlinelibrary.wiley.com/doi/10.1002/jae.711,HNJLJQ6D,journalArticle,"Falk, Barry; Wang, Chun-Hsuan",Falk; Wang,2003,10.1002/jae.711,"0883-7252, 1099-1255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,471-484,en,18,4,Articles in Wiki,,,
74,Testing the purchasing power parity through I(2) cointegration techniques,https://onlinelibrary.wiley.com/doi/10.1002/jae.786,QP8RJ5JU,journalArticle,"Bacchiocchi, Emanuele; Fanelli, Luca",Bacchiocchi; Fanelli,2005,10.1002/jae.786,"0883-7252, 1099-1255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,749-770,en,20,6,Articles in Wiki,,,
75,Testing the unbiased forward exchange rate hypothesis using a Markov switching model and instrumental variables,https://onlinelibrary.wiley.com/doi/10.1002/jae.773,PUIDAS7K,journalArticle,"Spagnolo, Fabio; Psaradakis, Zacharias; Sola, Martin",Spagnolo; Psaradakis; Sola,2005,10.1002/jae.773,"0883-7252, 1099-1255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,423-437,en,20,3,Articles in Wiki,,,
76,Tests of seasonal integration and cointegration in multivariate unobserved component models,https://onlinelibrary.wiley.com/doi/10.1002/jae.852,5Y3JH4VE,journalArticle,"Busetti, Fabio",Busetti,2006,10.1002/jae.852,"0883-7252, 1099-1255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,419-438,en,21,4,Articles in Wiki,,,
77,The Engel curve for alcohol and the rank of demand systems,https://onlinelibrary.wiley.com/doi/10.1002/jae.881,FHGHK459,journalArticle,"Unayama, Takashi",Unayama,2006,10.1002/jae.881,"08837252, 10991255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,1019-1038,en,21,7,Articles in Wiki,,,
78,Sectoral adjustment of employment to shifts in outsourcing and trade: evidence from a dynamic fixed effects multinomial logit model,https://onlinelibrary.wiley.com/doi/10.1002/jae.914,8CXSHWD7,journalArticle,"Egger, Peter; Pfaffermayr, Michael; Weber, Andrea",Egger; Pfaffermayr; Weber,2007,10.1002/jae.914,"08837252, 10991255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,559-580,en,22,3,Articles in Wiki,,,
79,Selection correction and sensitivity analysis for ordered treatment effect on count response,https://onlinelibrary.wiley.com/doi/10.1002/jae.743,NUE5I4VT,journalArticle,"Lee, Myoung-Jae",Lee,2004,10.1002/jae.743,"0883-7252, 1099-1255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,323-337,en,19,3,Articles in Wiki,,,
80,Semi-nonparametric competing risks analysis of recidivism,https://onlinelibrary.wiley.com/doi/10.1002/jae.960,SWIT39P6,journalArticle,"Bierens, Herman J.; Carvalho, Jose R.",Bierens; Carvalho,2007,10.1002/jae.960,"08837252, 10991255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,971-993,en,22,5,Articles in Wiki,,,
81,Semi-parametric estimation of consumption-based equivalence scales: the case of Germany,https://onlinelibrary.wiley.com/doi/10.1002/jae.888,TYGTXCAP,journalArticle,"Wilke, Ralf A.",Wilke,2006,10.1002/jae.888,"0883-7252, 1099-1255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,781-802,en,21,6,Articles in Wiki,,,
82,Semi-structural models of advertising competition,https://onlinelibrary.wiley.com/doi/10.1002/jae.983,JZPDWR6Q,journalArticle,"Pinkse, Joris; Slade, Margaret",Pinkse; Slade,2007,10.1002/jae.983,"08837252, 10991255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,1227-1246,en,22,7,Articles in Wiki,,,
83,Semiparametric Bayesian inference in multiple equation models,https://onlinelibrary.wiley.com/doi/10.1002/jae.810,76GEIKB8,journalArticle,"Koop, Gary; Poirier, Dale J.; Tobias, Justin",Koop; Poirier; Tobias,2005,10.1002/jae.810,"0883-7252, 1099-1255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,723-747,en,20,6,Articles in Wiki,,,
84,Semiparametric estimation of a hedonic price function,https://onlinelibrary.wiley.com/doi/10.1002/(SICI)1099-1255(199611)11:6<633::AID-JAE414>3.0.CO;2-T,3UDWYMCC,journalArticle,"Anglin, Paul M.; Gençay, Ramazan",Anglin; Gençay,1996,10.1002/(SICI)1099-1255(199611)11:6<633::AID-JAE414>3.0.CO;2-T,"08837252, 10991255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,633-648,en,11,6,Articles in Wiki,,,
85,Semiparametric estimation of lifetime equivalence scales,https://onlinelibrary.wiley.com/doi/10.1002/jae.768,P3M6C5Z4,journalArticle,"Pendakur, Krishna",Pendakur,2005,10.1002/jae.768,"0883-7252, 1099-1255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,487-507,en,20,4,Articles in Wiki,,,
86,Semiparametric hedonic price models: assessing the effects of agricultural nonpoint source pollution,https://onlinelibrary.wiley.com/doi/10.1002/jae.1022,K4U7A4ME,journalArticle,"Bontemps, Christophe; Simioni, Michel; Surry, Yves",Bontemps; Simioni; Surry,2008,10.1002/jae.1022,"08837252, 10991255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,825-842,en,23,6,Articles in Wiki,,,
87,Semiparametric three-step estimation methods for simultaneous equation systems,https://onlinelibrary.wiley.com/doi/10.1002/jae.796,4XM72HAC,journalArticle,"Rodríguez-Póo, Juan M.; Sperlich, Stefan; Fernández, Ana I.",Rodríguez-Póo; Sperlich; Fernández,2005,10.1002/jae.796,"0883-7252, 1099-1255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,699-721,en,20,6,Articles in Wiki,,,
88,Sequential numerical integration in nonlinear state space models for microeconometric panel data,https://onlinelibrary.wiley.com/doi/10.1002/jae.993,PG45X2PQ,journalArticle,"Heiss, Florian",Heiss,2008,10.1002/jae.993,"08837252, 10991255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,373-389,en,23,3,Articles in Wiki,,,
89,Full Text,https://www.econstor.eu/bitstream/10419/152586/1/ecbwp0152.pdf,9XT88WLN,attachment,,,,,,,,,,,,,,,,,,,
90,"Share of exports to low-income countries, productivity, and innovation: A replication study with firm-level data from six European countries",https://www.accessecon.com/Pubs/EB/2015/Volume35/EB-15-V35-I4-P241.pdf,UYV4YXTW,journalArticle,", Joachim Wagner",,2015,,,,Economics Bulletin,Economics Bulletin,,,"Crinò and Epifani (2012) report and discuss two empirical regularities they find in a representative sample of Italian manufacturing firms. First, there is a negative correlation between firms' productivity and their export share to low-income destinations. Second, there is a negative correlation between firms' innovation activity and their export share to low-income destinations. This note uses recently available comparable high quality firm level data for six European countries (including Italy) and similarly specified empirical models in an attempt to replicate these results. Replication failed completely. The link found between the share of exports to low-income countries and either productivity or R&D intensity is never in line with the results from Crinò and Epifani (2012).",,,35,4,Replications,,,
91,Robust inference concerning recent trends in US environmental quality,https://onlinelibrary.wiley.com/doi/10.1002/jae.759,HSXRDL6T,journalArticle,"Maasoumi, Esfandiar; Millimet, Daniel L.",Maasoumi; Millimet,2005,10.1002/jae.759,"0883-7252, 1099-1255",,Journal of Applied Econometrics,Journal of Applied Econometrics,,J. Appl. Econ.,,55-77,en,20,1,Articles in Wiki,,,
92,Replication in the narrow sense of Banzhaf/ Walsh (2008),https://www.uni-goettingen.de/de/document/download/d41832a7cb0e6b7d7b7eefbfb5e3367f.pdf/Replication%20WP%2002_2012.pdf,PTE8LCDH,conferencePaper,"Wohlfarth, Paul",Wohlfarth,,,,,,,,,"This is a partially successful replication of an empirical test on the Tiebout Hypothesis by Spencer Banzhaf and Randall Walsh (2008). Although I was not able to fully replicate their ﬁndings, Banzhaf and Walsh’s conclusion is not called into question.",9,en,,,Replications,,,
93,Wohlfarth - Replication in the narrow sense of Banzhaf Walsh .pdf,https://www.uni-goettingen.de/de/document/download/d41832a7cb0e6b7d7b7eefbfb5e3367f.pdf/Replication%20WP%2002_2012.pdf,LB8FU46U,attachment,,,,,,,,,,,,,,,,,,,
94,"Replication in the narrow sense of “Financial Stability, the Trilemma, and International Reserves” (Obstfeld, Shambaugh & Taylor 2010)","https://www.uni-goettingen.de/de/document/download/420a7080161300bf08ab1a6d66c7c116.pdf/WP%2001_2014_Replication%20in%20the%20narrow%20sense%20of%20Financial%20Stability,%20the%20Trilemma,%20and%20International%20Reserves%20-%20Christoph%20Wei%C3%9Fer.pdf",S64IJV6Q,conferencePaper,"Christoph Johannes Weißer, ",Christoph Johannes Weißer,,,,,,,,,"This is a partly successful replication of “Financial Stability, the Trilemma and International Reserves” (Obstfeld et al. 2010) published in the American Economic Journal: Macroeconomics.1 This replication is part of a research project on the replicability of empirical articles in economics.2 A replication in the narrow sense by our means is a repetition of empirical research, using the same datasets as well as the same program codes as in the original article. The AER Data Availability Policy requires that the authors provide data and programs that permits replication, but only need to give access to raw data on request. The authors have been contacted per mail but have not replied so far.3 The results of all regressions shown in the paper can be replicated by using the data and code that the authors provide.4 The code for several graphs is not provided in the do-ﬁle.5 We ﬁnd that it is difﬁcult to replicate the variables in the dta-ﬁle given that the raw data is not included and the description of the variables not sufﬁciently precise.6 The authors refer to several Davidson-MacKinnon tests7, to show that their suggested ﬁnancial stability model outperforms the traditional one.8 We can not ﬁnd the corresponding STATA code in the do-ﬁle. 1See Obstfeld et al. p. 54-94. 2http://ineteconomics.org/grants/replication-economics 3http://www.aeaweb.org/aer/data.php/ (01.09.2013) 4All tests in this paper refer to the pooled OLS regressions in table 1, page 73. 5See Obstfeld et al. (2010), p. 86-90. 6The variable lnm2gdp is labeled as nat log M2/GDP WDI data augmented with IFS money data for EMU countries. There are several variables like GDP for which different versions exist and the augmentation procedure is not clearly described. 7See Davidson/MacKinnon (1981), p. 78-193. 8See Obstfeld et al. (2010), p. 74.",30,en,,,Replications,,,
95,Kneib - Centre for Statistics Platz der Go¨ttinger Sieben .pdf,"https://www.uni-goettingen.de/de/document/download/420a7080161300bf08ab1a6d66c7c116.pdf/WP%2001_2014_Replication%20in%20the%20narrow%20sense%20of%20Financial%20Stability,%20the%20Trilemma,%20and%20International%20Reserves%20-%20Christoph%20Wei%C3%9Fer.pdf",MHXMWHFT,attachment,,,,,,,,,,,,,,,,,,,
96,Narrow Replication of Ashcraft (2005): Are Banks Really Special?,,KDMH5Q7S,conferencePaper,"Zakula, Björn",Zakula,,,,,,,,,"This is a partly successful narrow replication of Ashcraft [2005] “Are Banks Really Special? New evidence from the FDIC-induced failure of healthy banks” published in the American Economic Review. Despite diﬀerences in the ﬁndings, the conclusion of the original paper is not called into question.",5,en,,,Replications,,,
97,Snapshot,https://ideas.repec.org/p/stg/wpaper/2012_01.html,9FY3PTFX,attachment,,,,,,,,,,,,,,,,,,,
98,Narrow Replication of Ashcraft (2005): Are Banks Really Special?,https://ideas.repec.org/p/stg/wpaper/2012_01.html,W3VZYJHS,report,"Zakula, Björn",Zakula,2012,,,,,,,,"This is a partly successful narrow replication of Ashcraft [2005] ""Are Banks Really Special? New evidence from the FDIC-induced failure of healthy banks"" published in the American Economic Review. Despite differences in the findings, the conclusion of the original paper is not called into question.",,en,,,,,,
99,Zakula - Narrow Replication of Ashcraft (2005) Are Banks R.pdf,https://www.uni-goettingen.de/de/document/download/4c8effb9585647234b6a4403e8763f98.pdf/Replication%20WP%2001_2012.pdf,DJJWERPJ,attachment,,,,,,,,,,,,,,,,,,,
